estimated_active,bin_size
120376157.87591776,1002.0
120875212.97623414,1002.0
120525801.38672322,1002.0
120547087.38139394,1002.0
121203837.80211692,1002.0
120167459.58396374,1002.0
121150077.54843557,1002.0
118567438.87145951,1002.0
121362345.97488281,1002.0
121045976.10444218,1002.0
120848913.56926763,1002.0
118301293.88746335,1002.0
121211252.3871922,1002.0
120490340.96607551,1002.0
120112366.18440625,1002.0
120486615.40534078,1002.0
120781622.27478419,1002.0
120573844.28821231,1002.0
122323607.7510761,1002.0
120848687.89627238,1002.0
119069187.3260289,1002.0
120384533.7323093,1002.0
120943903.70880051,1002.0
120322684.54321918,1002.0
120915768.3099443,1002.0
