estimated_active,bin_size,estimated_active_true
60320.52057,2004,120882323.2
60216.24808,2004,120673361.1
60009.13953,2004,120258315.6
60619.57424,2004,121481626.8
60490.39426,2004,121222750.1
60322.45389,2004,120886197.6
59376.94346,2004,118991394.7
60400.25783,2004,121042116.7
59401.08164,2004,119039767.6
58867.23779,2004,117969944.5
59511.9095,2004,119261866.6
59919.62903,2004,120078936.6
59990.5612,2004,120221084.6
59665.33169,2004,119569324.7
59253.18941,2004,118743391.6
59560.87099,2004,119359985.5
59097.30254,2004,118430994.3
60566.24791,2004,121374760.8
60091.17213,2004,120422709
60979.22884,2004,122202374.6
59778.35775,2004,119795828.9
60081.83245,2004,120403992.2
59876.89193,2004,119993291.4
60277.87249,2004,120796856.5
60599.97236,2004,121442344.6
