estimated_active,bin_size
121133924.55126524,2004.0
122287941.2648817,2004.0
121556180.25436726,2004.0
119630406.74939866,2004.0
120554211.62894487,2004.0
119371361.70466252,2004.0
118938525.54960969,2004.0
119161996.23819903,2004.0
120379859.40901178,2004.0
121737945.59449182,2004.0
120023389.84457712,2004.0
121055205.6045321,2004.0
119846355.27959666,2004.0
120978858.08744876,2004.0
121025074.30826673,2004.0
119370461.46207176,2004.0
118056877.05726302,2004.0
121613742.08981496,2004.0
121812087.93457615,2004.0
121170042.43316314,2004.0
119906411.73804927,2004.0
119151514.22875696,2004.0
120594316.05224638,2004.0
119606876.24292466,2004.0
117445504.96682431,2004.0
