estimated_active,bin_size,estimated_active_true
121864.1491,1002,122107877.4
120935.4275,1002,121177298.3
119519.5833,1002,119758622.5
120326.3834,1002,120567036.2
121461.6929,1002,121704616.3
118841.9076,1002,119079591.4
122041.1584,1002,122285240.7
117563.7972,1002,117798924.8
121115.9364,1002,121358168.3
120663.8749,1002,120905202.6
118497.6664,1002,118734661.7
119881.3882,1002,120121150.9
121181.043,1002,121423405.1
116587.5878,1002,116820763
118624.1286,1002,118861376.8
120134.7779,1002,120375047.4
120575.5559,1002,120816707
119612.8226,1002,119852048.2
120680.2124,1002,120921572.8
120951.6536,1002,121193556.9
120111.7506,1002,120351974.1
118410.9756,1002,118647797.6
120994.227,1002,121236215.4
122377.851,1002,122622606.7
119483.5581,1002,119722525.2
