estimated_active,bin_size,estimated_active_true
124886.4668,1002,125136239.8
118483.4123,1002,118720379.1
113187.0781,1002,113413452.3
120772.9469,1002,121014492.8
113537.6448,1002,113764720.1
119731.8008,1002,119971264.4
118708.452,1002,118945868.9
120540.0193,1002,120781099.3
119617.2249,1002,119856459.3
120889.7485,1002,121131528
119961.6123,1002,120201535.5
121477.1623,1002,121720116.6
116063.1383,1002,116295264.6
119846.5964,1002,120086289.5
119731.8008,1002,119971264.4
121241.5131,1002,121483996.1
121477.1623,1002,121720116.6
121124.031,1002,121366279.1
120772.9469,1002,121014492.8
120076.8492,1002,120317002.9
122669.2836,1002,122914622.2
121713.7293,1002,121957156.8
120307.9885,1002,120548604.4
118821.2928,1002,119058935.4
122070.3125,1002,122314453.1
