estimated_active,bin_size,estimated_active_true
243664.7173,501,122076023.4
247035.5731,501,123764822.1
241633.8583,501,121058563
243190.6615,501,121838521.4
224905.303,501,112677556.8
245098.0392,501,122794117.6
242248.062,501,121366279.1
239005.7361,501,119741873.8
242718.4466,501,121601941.7
242248.062,501,121366279.1
244618.3953,501,122553816
244618.3953,501,122553816
236294.896,501,118383742.9
241312.7413,501,120897683.4
245579.5678,501,123035363.5
236742.4242,501,118607954.5
243664.7173,501,122076023.4
241779.4971,501,121131528
240384.6154,501,120432692.3
243664.7173,501,122076023.4
244140.625,501,122314453.1
238703.3399,501,119590373.3
242248.062,501,121366279.1
244140.625,501,122314453.1
240384.6154,501,120432692.3
