estimated_active,bin_size,estimated_active_true
237876.7732,501,119176263.4
241621.6393,501,121052441.3
240887.771,501,120684773.3
240982.4681,501,120732216.5
239107.7111,501,119792963.2
242086.8635,501,121285518.6
241802.6452,501,121143125.2
239790.9189,501,120135250.4
240165.4468,501,120322888.9
240434.5115,501,120457690.2
243193.227,501,121839806.7
241836.2973,501,121159984.9
242768.5801,501,121627058.6
241368.5857,501,120925661.4
241462.2065,501,120972565.4
241839.6689,501,121161674.1
242121.6228,501,121302933
242902.0599,501,121693932
237152.7464,501,118813526
236507.687,501,118490351.2
240966.0786,501,120724005.4
240225.9273,501,120353189.6
238242.5351,501,119359510.1
239439.0084,501,119958943.2
240018.1657,501,120249101
