estimated_active,bin_size,estimated_active_true
241540.1706,501,121011625.5
243743.9993,501,122115743.6
242634.1315,501,121559699.9
236392.8536,501,118432819.6
237827.9819,501,119151818.9
238947.8188,501,119712857.2
239148.4684,501,119813382.7
237095.9355,501,118785063.7
236325.606,501,118399128.6
238590.2296,501,119533705
241382.0645,501,120932414.3
237315.0522,501,118894841.2
239337.0019,501,119907838
240497.3232,501,120489158.9
242372.7133,501,121428729.4
238142.3447,501,119309314.7
241160.4589,501,120821389.9
243999.2893,501,122243644
240466.5502,501,120473741.6
242699.6566,501,121592528
242016.5776,501,121250305.4
240536.3292,501,120508700.9
240311.7784,501,120396201
241792.7611,501,121138173.3
228042.738,501,114249411.7
