estimated_active,bin_size
121609806.54430005,501.0
120790719.42832574,501.0
120359348.25825256,501.0
119914142.81039105,501.0
120558047.14984414,501.0
121619804.70584953,501.0
120324717.61270903,501.0
119228440.8614131,501.0
121899169.49511138,501.0
121474486.22342697,501.0
120105551.11364852,501.0
120737841.8218622,501.0
119429472.83061363,501.0
121386185.35031624,501.0
121111088.20601924,501.0
120468308.09873798,501.0
120359606.65401442,501.0
120828378.95168176,501.0
116046211.73656224,501.0
120487359.85630241,501.0
121153653.43874288,501.0
120741574.78524604,501.0
121092595.90373069,501.0
115611365.91321963,501.0
121987283.32100208,501.0
