estimated_active,bin_size,estimated_active_true
60559.0977,2004,121360431.8
58003.38585,2004,116238785.3
60748.96631,2004,121740928.5
60520.33653,2004,121282754.4
60450.19097,2004,121142182.7
58959.83049,2004,118155500.3
59899.30387,2004,120038205
60919.06025,2004,122081796.7
60553.33627,2004,121348885.9
60748.37518,2004,121739743.9
59655.07241,2004,119548765.1
60013.81154,2004,120267678.3
59553.59534,2004,119345405.1
60435.87521,2004,121113493.9
60600.97421,2004,121444352.3
60776.09023,2004,121795284.8
60769.82687,2004,121782733.1
60192.78473,2004,120626340.6
60463.40214,2004,121168657.9
60859.8493,2004,121963138
58867.33927,2004,117970147.9
58208.60702,2004,116650048.5
59236.87039,2004,118710688.3
60771.23621,2004,121785557.4
59105.06869,2004,118446557.7
