estimated_active,bin_size
120316356.0793757,1002.0
120418573.36924192,1002.0
121104724.48729563,1002.0
120751073.57750632,1002.0
121358781.23939675,1002.0
122375216.62015496,1002.0
121111822.00898533,1002.0
121692317.79336306,1002.0
120161192.32006176,1002.0
117001235.03777984,1002.0
119676869.17267352,1002.0
119944916.72514635,1002.0
120285998.95781136,1002.0
121190097.62722892,1002.0
120036973.6473723,1002.0
120693383.99125876,1002.0
121257253.678373,1002.0
121140106.25030951,1002.0
121732852.8560335,1002.0
114284515.59599572,1002.0
120783873.21781029,1002.0
118381832.04836285,1002.0
121621200.57109109,1002.0
119703989.49724439,1002.0
121541694.21705142,1002.0
