estimated_active,bin_size,estimated_active_true
60945.88006,2004,122135543.6
57983.39844,2004,116198730.5
60738.58115,2004,121720116.6
60562.0155,2004,121366279.1
60916.17934,2004,122076023.4
57138.55422,2004,114505662.7
61475.40984,2004,123196721.3
60415.65974,2004,121072982.1
60562.0155,2004,121366279.1
55832.50249,2004,111888335
61094.81916,2004,122434017.6
59980.80614,2004,120201535.5
60096.15385,2004,120432692.3
61184.53255,2004,122613803.2
60679.61165,2004,121601941.7
60856.86465,2004,121957156.8
54609.92908,2004,109438297.9
60503.38819,2004,121248789.9
61035.15625,2004,122314453.1
59980.80614,2004,120201535.5
59894.58553,2004,120028749.4
60240.96386,2004,120722891.6
60240.96386,2004,120722891.6
60856.86465,2004,121957156.8
61606.70281,2004,123459832.4
