estimated_active,bin_size
116422622.0134478,1002.0
119499230.00175275,1002.0
121392340.64512691,1002.0
119447216.66320457,1002.0
120320200.86416815,1002.0
121488074.65314022,1002.0
121664646.12620024,1002.0
120171273.73230745,1002.0
120880387.18354806,1002.0
122306829.54951483,1002.0
120360043.34366369,1002.0
121069903.94398566,1002.0
119409402.68389423,1002.0
119475278.0055945,1002.0
121176196.57597621,1002.0
121285989.3888036,1002.0
121002447.32171264,1002.0
119136287.41011879,1002.0
121063590.54695691,1002.0
120711185.23705454,1002.0
121610552.50771011,1002.0
120570064.7099299,1002.0
120997189.58548567,1002.0
119744586.75446948,1002.0
120008383.32052526,1002.0
