estimated_active,bin_size
121297352.7311566,2004.0
116832958.14624752,2004.0
120629503.14970888,2004.0
121070567.69727328,2004.0
120460348.69766155,2004.0
120152736.25731404,2004.0
122088961.24254434,2004.0
111511787.45063838,2004.0
118157121.75048925,2004.0
121913249.4784609,2004.0
119921342.90410377,2004.0
121338237.8436639,2004.0
121210674.89986573,2004.0
120318614.13502781,2004.0
120470329.7130079,2004.0
121511461.65875189,2004.0
120947988.30033708,2004.0
118373420.5279964,2004.0
120149564.9060707,2004.0
120457526.18996409,2004.0
121687610.58311039,2004.0
119133855.72247285,2004.0
119958590.73998958,2004.0
121890838.87844586,2004.0
120120938.14714606,2004.0
